Code,UiFile,Arabic,English
70021,ChoiceRoom.ui,åĞå ãÈÇÑÇÉ ãäİÑÏÉ ãÚ ÈØÇŞÇÊ ÇáßãÈíæÊÑ ÇáÎÇÕÉ Èß ÇßÊÔİ ãÇ åæ ããíÒ ÈİÑíŞß ÇäÊÈå ÇĞÇ ÇÑÏÊ ÇááÚÈ ãÈÇÑÇÉ İÑÏíÉ Úáíß ÈæÖÚ ÈØÇŞÇÊ ÇáßãÈíæÊÑ ãä ãÎÒä ÇáÈØÇŞÇÊ,"This is single match with your AI card. Figure out  the characteristic of your AI card. Warning: If you want to have a single match, you have to equip a AI card in your card inventory!"
70022,ChoiceRoom.ui,áÇ íÚãá,Not in service
70023,ChoiceRoom.ui,åĞå ãÈÇÑÇÉ ãÚ áÇÚÈ ÇÎÑ ÇßÊÔİ ãÇ åæ ããíÒ ÈİÑíŞß ÇäÊÈå ÇĞÇ ÇÑÏÊ ÇááÚÈ ãÈÇÑÇÉ İÑÏíÉ ÚáíäÇ ÈæÖÚ ÈØÇŞÇÊ ÇáßãÈíæÊÑ ãä ãÎÒä ÇáÈØÇŞÇÊ,"This is single match with the other player.  Figure out  the characteristic of your AI card. Warning: If you want to have a single match, we have to equip a AI card in your card inventory!"
70024,ChoiceRoom.ui,åĞå ãÈÇÑÇÉ ãäİÑÏÉ ãÚ áÇÚÈ ßãÈíæÊÑ ãßÇİíÁ áãÓÊæì áÇÚÈß ÓíÊã ÊÍÏíÏ ãÓÊæì áÇÚÈ ÇáßãÈíæÊÑ ÈÔßá ÊáŞÇÆí,This is single match with balanced AI. The balance of AI player will be set automatically.
70025,ChoiceRoom.ui,åĞå ãÈÇÑÇÉ ãÊÚÏÏÉ ãÚ 5 áÇÚÈíä ÇÎÑíä ÇĞÇ ßäÊ ÈÍÇÌÉ ááÇÚÈ ÇÖÇİí İí ÇáãÈÇÑÇÉ ÓíÊã ÊÚííä áÇÚÈ ßãÈíæÊÑ ÈÔßá ÊáŞÇÆí,"This is Multi match with other 5 players. If you need more player for having a match, AI player will be set  automatically"
70026,ChoiceRoom.ui,ÊÏÑÈ ãÚ ÇáßãÈíæÊÑ,Practise with AI
70027,ChoiceRoom.ui,ÊÏÑÈ ãÚ ÈØÇŞÇÊ ÇáßãÈíæÊÑ,Practise with AI card
70028,ChoiceRoom.ui,ãåãÉ æÇÍÏÉ,Single Quest
70029,ChoiceRoom.ui,ãÈÇÑÇÉ ÈØÇŞÉ ßãÈíæÊÑ,AI Card Match
70030,ChoiceRoom.ui,1 ÖÏ 1 ,1 vs 1
70031,ChoiceRoom.ui,5 ÖÏ 5,5 vs 5
70032,ChoiceRoom.ui,ÇáÊÇáí,Next
70033,ChoiceRoom.ui,ÍĞİ,Delete
80001,CreateCharacter.ui,ÇáäãØ,Style
80002,CreateCharacter.ui,ÇáÌäÓ,Gender
80003,CreateCharacter.ui,ÇáÇÓã,Name
80004,CreateCharacter.ui,ÇáÈäØÇá,Pants
80005,CreateCharacter.ui,ÇáÈÔÑÉ,Skin 
80006,CreateCharacter.ui,ÇáŞãÕÇä,Shirts
80007,CreateCharacter.ui,ÇáÃÍĞíÉ,Shoes
80008,CreateCharacter.ui,ÊÃßÏ,Check
80009,CreateCharacter.ui,ÌÑí,Running
80010,CreateCharacter.ui,ãÑÇæÛÉ,Dribbling
80011,CreateCharacter.ui,ÎİÉ ÇáÍÑßÉ,Agility
80012,CreateCharacter.ui,ÇáŞÏÑÉ Úáì ÇáÊÍãá,Stamina
80013,CreateCharacter.ui,ŞİÒ,Jump
80014,CreateCharacter.ui,ÇÎÊÑÇŞ,Bodycheck
80015,CreateCharacter.ui,ÊŞÇØÚ,Crossing
80016,CreateCharacter.ui,ÊãÑíÑÉ ŞÕíÑÉ,Short Pass
80017,CreateCharacter.ui,ÊãÑíÑÉ ØæíáÉ,Long Pass
80018,CreateCharacter.ui,ÑÃÓíÉ,Heading
80019,CreateCharacter.ui,ÊÓÏíÏÇÊ ŞÕíÑÉ,Short Shots
80020,CreateCharacter.ui,ÊÓÏíÏÇÊ ØæíáÉ,Long Shots
80021,CreateCharacter.ui,ÊÍßã ÈÇáßÑÉ,Ball Control
80022,CreateCharacter.ui,ÇáÎØİ,Stealing
80023,CreateCharacter.ui,ÚÑŞáÉ,Tackling
80024,CreateCharacter.ui,íãÓß,Catching
80025,CreateCharacter.ui,áßãÉ,Punching
80026,CreateCharacter.ui,ÇáÏİÇÚ ,Defense
80027,CreateCharacter.ui,ÇáŞÏÑÉ,Ability
80028,CreateCharacter.ui,ãÑßÒ ÕÇäÚ ÇáÇåÏÇİ,The position to make the goals
80029,CreateCharacter.ui,íãßäß ÊØæíÑ ÇáãÑßÒ ÚäÏ ÇáãÓÊæì 5,Possible to upgrade position at Lv. 5
80030,CreateCharacter.ui,íãßäß ÊØæíÑ ÇáãÑßÒ ÚäÏ ÇáãÓÊæì 20,Possible to upgrade position at Lv. 20
80031,CreateCharacter.ui,åĞÇ ÇáãÑßÒ æÙíİÊå ÊÊãÑßÒ İí ÇáåÌæã æ ÇáÏİÇÚ,The position playes the role of both Striker & Defender at the same time
80032,CreateCharacter.ui,åĞÇ ÇáãÑßÒ æÙíİÊå ÊÊãÑßÒ İí ãäÚ ÇáÎÕã ãä ÇáåÌæã,The position playes a role to prevent the opposition from attacking
80033,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÑÃÓíÉ æ ÇáßÑÉ ÇáÚÇáíÉ,The position for heading & high ball
80034,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááãÑÇæÛÉ æ ÇåÏÇİ ÇáãáÚÈ,The position for dribbling & field goal
80035,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááãÑÇæÛÉ ÇáÓÑíÚÉ æ ÇáÊŞÇØÚ,The position for fast dribble & crossing
80036,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÊÓÏíÏÇÊ ÇáŞÕíÑÉ æ ÇáØæíáÉ,The position for short & long shots
80037,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÊÓÏíÏÇÊ ÇáØæíáÉ,The position for long shots 
80038,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÊãÑíÑÉ ÇáŞÕíÑÉ ÇáãÑßÒÉ,The position for stabilized short passing
80039,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÊãÑíÑÇÊ ÇáØæíáÉ æ ÇáÊŞÇØÚ,The position for long passing & crossing
80040,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÏİÇÚ İí ãäØŞÉ ÇáæÓØ,The position for defense at the middle area
80041,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÏİÇÚ İí ÇáäåÇíÉ,The position for defense at the end
80042,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÏİÇÚ ãä ßÑÉ ÚÇáíÉ,The position of defense for high ball
80043,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ááÏİÇÚ ãä ÑÌá áÑÌá,The position of defense for man to man
80044,CreateCharacter.ui,áŞÏ ÇÎÊÑÊ ÇáåÌæã åĞÇ ÇáãÑßÒ íÍÊã Úáíß Ãä Êßæä ãÊÚØÔÇ ááÃåÏÇİ ÇáÇä%sÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí,"You select FW.\FW need to be greedy for the goal.\Now, ?%s? will grow like right graph."
80045,CreateCharacter.ui,áŞÏ ÇÎÊÑÊ ÎØ ÇáæÓØ åĞÇ ÇáãÑßÒ íÚÊã Úáíß äÔÇØÇÊ ãÊÚÏÏÉ  ÇáÇä %s ÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí,"You select MF.\MF need wide scope of activity.\Now, ?%s? will grow like right graph."
80046,CreateCharacter.ui,áŞÏ ÇÎÊÑÊ ÇáÏİÇÚ åĞÇ ÇáãÑßÒ íãäÍß ãåÇÑÇÊ ÏİÇÚ ÚÇáíÉ ÇáÇä %s ÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí ,"You select DF.\DF need stable defense ability.\Now, ?%s? will grow like right graph."
80047,CreateCharacter.ui,ãÑÉ ÇÎÑì ÓÊÎÊÇÑ ãÑßÒ ãÊÎÕÕ ÇßËÑ ÚäÏãÇ ÊÕÈÍ İí ÇáãÓÊæì 20,One more\Will let you know the positions\for 2nd growth when become Lv 20.
80048,CreateCharacter.ui,ãÑÍÈÇ ÓÚíÏ ÈáŞÇÆß ÇäÇ ÇÓãí Èíáíå æ ÇäÇ ÇáãÏíÑ æÓÃÈŞì ãÚß Çáì Çä ÊÕÈÍ áÇÚÈ ããÊÇÒ ÇáÇä ÏÚäÇ äÎÊÇÑ ÔÎÕíÉ áß ,"Hi! Nice to meet you.\I am ARUMI\I am the manager and will be with\you until you become great player.\Let's get along.\Now, let's create character"
80049,CreateCharacter.ui,ŞÑÑ Ôßá ÔÎÕíÊÊß åĞå ÇáÔÎÕíÉ ÓÊáÚÈ ÇáãÈÇÑÇÉ ÚæÖÇ Úäß İí X-Kick áĞáß ÇÎÊÑåÇ ÈÚäÇíÉ,"Decide with your style.\This character will play\the match instead of you in X-KICK\So, select with care."
80050,CreateCharacter.ui,ÇäåÇ ÇáãåÇÑÉ ÇáÍÇáíÉ áÜ %s ßá ÇáãåÇÑÇÊ áÏíß ãäÎİÖÉ ÇáÇä æáßä ÈãÌÑÏ ÇäÊåÇÆß ãä ÇáÊÏÑíÈ ÌãíÚ ÇáãåÇÑÇÊ ÓÊÕÈÍ ãäÇÓÈÉ áß,"It's the current ability of. ?%s?\All the abilities now is very low,\but once you grow after tutorial\the abilities will be suitable for you."
80051,CreateCharacter.ui,"ãÑÇæÛÉ,ÊÓÏíÏÇÊ ŞÕíÑÉ,ÊÍßã ÈÇáßÑÉ","Dribbling, Short shots, Ball control"
80052,CreateCharacter.ui,"ÎİÉ ÇáÍÑßÉ,ÊÓÏíÏÇÊ ØæíáÉ,ÎØİ","Agility, Long shots, Stealing"
80053,CreateCharacter.ui,"ÇáŞÏÑÉ Úáì ÇáÊÍãá,ÎØİ,ÚÑŞáÉ","Stamina, Stealing, Tackling"
80054,CreateCharacter.ui,ÔÌÑÉ ÇáãÑÇßÒ áÊÓÌíá ÇáÇåÏÇİ,The position for scoring the goals
80055,CreateCharacter.ui,åĞÇ ÇáãÑßÒ ãÊÎÕÕ ÈÇáåÌæã æÇáÏİÇÚ ãÚÇ,The position involved in both Attacking &\Defending positions
80056,CreateCharacter.ui,åĞÇ ÇáãÑßÒ åæ áÚÑŞáÉ ÇáÇÚÈíä ÇáÎÕã æÚÏã ÎÓÇÑÉ åÏİ,The position not to lose the goals and obstructthe opponent players
80057,CreateCharacter.ui,"ST ""“Striker ãåÇÌã ÔÑÓ: åĞÇ ÇáãÑßÒ åæ ãåÇÌã İí ÇáÎØ ÇáÇæá æ íÊáŞì ÇáßÑÇÊ ÈÓåæáÉ \ Úáì ÇáãåÇÌã ÇáÔÑÓ Çä íÊÎĞ ÇáŞÑÇÑÇÊ ÈÔßá ÓÑíÚ ÚäÏãÇ ÊÓäÍ áå ÇáİÑÕÉ, æ ÇáÊÍÑß İí ÇÑÖ ÇáãáÚÈ ÈÔßá æÇÓÚ áßí íãÑÑ áÇÚÈí ÎØ ÇáæÓØ æ ÇáÏİÇÚ áå ÈÓåæáÉ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÎİÉ ÇáÍÑßÉ, ÑÃÓíÉ, ÊÓÏíÏÇÊ İÕíÑÉ \ ÇáãåÇÑÇÊ: ÊÓÏíÏÉ ØÇÆÑÉ, ÊÓÏíÏÉ ÑÃÓíÉ ÕÇÑæÎíÉ","1. Striker, having good heading & catching highball abilities\2. Overcome the weakness of agility & speed\by making goal ability."
80058,CreateCharacter.ui,"CF “Center Forward” ãåÇÌã ÈÇÑÚ: \ åĞå ÇáãÑßÒ áÏíå ãŞÏÑÉ ãÑÇæÛÉ ÌíÏÉ æ ãåÇÑÉ İí ÊÓÌíá ÇáÇåÏÇİ, æ ÊÑÊİÚ äÓÈÉ ÊÓÌíá ÇáåÏİ ÚäÏãÇ íßæä ãÓíØÑÇ Úáì ÇáßÑÉ \ æ áÏíå ãåÇÑÉ ãÑÇæÛÉ æ ÊÓÌíá ÇåÏÇİ ããÊÇÒÉ  ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: \ ÇáãÑÇæÛÉ, ÊÓÏíÏÇÊ ÇáŞÕíÑÉ, ÇáÊÍßã ÈÇáßÑÉ ÇáãåÇÑÇÊ: \ ÊÓÏíÏÉ ãäÎİÖÉ, ÇáÑßáÉ ÇáÌÇäÈíÉ ÇáãáÊİÉ","1. Center Forward, having good dribbling skill &field goals\2. The best goal-scorer, having a ball."
80059,CreateCharacter.ui," “Wing forward” WFãåÇÌã ãÑÇæÛ: \ åĞÇ ÇáãÑßÒ ãÊÎÕÕ ÈÇáãÑÇæÛÉ ÇáÓÑíÚÉ æ ÇáÚÈæÑ ÇáããÊÇÒ ãÑßÒ ÇáãåÇÌã ÇáãÑÇæÛ ãÑßÒ ããíÒ ãÎÊÕ ÈÊãÑíÑ ÇáßÑÉ ááãåÇÌãíä ÇáãÊæÇÌÏíä İí ÇáæÓØ \ æ ÚäÏãÇ ÊÓäÍ áåã Çí İÑÕÉ íãßäåã ÇÍÑÇÒ åÏİ ãÚ ãÑÇæÛÉ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: \ ãÑÇæÛÉ, ÎİÉ ÇáÍÑßÉ, ÊÓÏíÏÇÊ ÇáŞÕíÑÉ ÇáãåÇÑÇÊ: ÊãÑíÑÉ ÓÑíÚÉ ãäÎİÖÉ, ÚÈæÑ ãäÒáŞ","1. Wing Forward, having the fasted dribbling\skill & crossing from side\2. Good scorer."
80060,CreateCharacter.ui,"SS “Shadow Striker” ÕÇäÚ ÇááÚÈÉ: \ åĞÇ ÇáãÑßÒ áÏíå ÇáŞÏÑÉ Úáì ÊÓÌíá ÇáÇåÏÇİ ãä Çí ãßÇä, íÚÊãÏ åĞÇ ÇáãÑßÒ Úáì ÇááÚÈ ÇáÌãÇÚí æ ÇÍÑÇÒ ÇáÇåÏÇİ \ áĞáß åĞÇ ÇáãäÕÈ íÔßá ÊåÏíÏ ááİÑíŞ ÇáÎÕã ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: \ ÇáŞÏÑÉ Úáì ÇáÊÍãá, ÇáÊÓÏíÏÇÊ ÇáŞÕíÑÉ, ÇáÊÓÏíÇÊ ÇáØæíáÉ ÇáãåÇÑÇÊ: \ ÑßáÉ áÇİæäÇ, ÊÓÏíÏÉ ÇíÏãáÓæä, ÊãÑíÑÉ ŞÕíÑÉ ááåÏİ","1. Shadow Striker, possible to make a goal fromanywhere\2. Good assistor & scorer but low dribbling skill &ball control."
80061,CreateCharacter.ui,"AM “Attack Midfielder” áÇÚÈ ÎØ ÇáæÓØ ÇáåÌæãí \  åĞå ÇáãÑßÒ íÚÊãÏ Úáì ÇáÊÓÏíÏÇÊ ÇáØæíáÉ ÇáäÇÌÍÉ æ ÇáãÓÇÚÏÉ İí ÇÍÑÇÒ ÇáÇåÏÇİ. æ ÇíÖÇ áÏíå ŞæÉ ÇáåÌæã ßãÑßÒ ÇáãåÇÌã ÊãÇãÇ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÇáãÑÇæÛÉ, ÇáÊÓÏíÏÇÊ ÇáØæíáÉ, ÇáÊÍßã ÈÇáßÑÉ \ ÇáãåÇÑÇÊ ÑßáÉ ÈæÌå ÇáŞÏã, ÑæáíÊ ãÒÏæÌÉ, ÊãÑíÑÉ ŞÕíÑÉ ãÓÊåÏİÉ ãÈÇÔÑÉ","1. Attacking Midfielder, delivering a ball to\forward also having the long shot\2. Good dribbler but low defensive ability."
80062,CreateCharacter.ui,"CM (Center Midfielder) áÇÚÈ ÎØ æÓØ ãÍæÑí \ åĞÇ ÇáãÑßÒ íÊÍßã ÈÇáãÈÇÑÉ æ áå ÏæÑ ßÈíÑ ÌÏÇğ İí ÇáÑÈØ Èíä ÎØí ÇáÏİÇÚ æÇáåÌæã æ áÏíå äÙÑÉ æÇÓÚÉ áãÌÑíÇÊ ÇááÚÈÉ æ ÈÇãßÇäå ÇáÇÓÊÍæÇĞ Úáì ÇáßÑÉ ÇáÖÇÆÚÉ æ ŞØÚ ÇáÊãÑíÑÇÊ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÇáŞÏÑÉ Úáì ÇáÊÍãá, ÇáÊÓÏíÏÇÊ ÇáØæíáÉ, ÇáÇÎÊØÇİ  ÇáãåÇÑÇÊ ÇáÇáÊŞÇØ ÇáÎÇØİ, ÇáÚÈæÑ ÇáäÕİí","1. Center Midfielder, controlling of game speedfor Attacking & Defending the both\2. The best passing player."
80063,CreateCharacter.ui,"SM “Side Midfielder” áÇÚÈ ÎØ æÓØ ÌÇäÈí \ áÇÚÈí åĞÇ ÇáãÑßÒ åã ÎáíØ ãÇ Èíä ÇáåÌæã æ ÇáÏİÇÚ¡ íáÚÈæä Èİä æÈÌÏíÉ æíÊãíÒæä ÈÇáÏŞÉ æ ÊÌÇæÒ ÇáÓÑíÚ áãÓÇİÇÊ ÈÚíÏÉ \ æ åã íÚÊÈÑæä ÇáãÍÑß ÇáÇÓÇÓí ááİÑíŞ æ åæ ãÑßÒ ÇáæÕá Èíä ÎØ ÇáæÓØ æ ÇáåÌæã ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: \ ÇáãÑÇæÛÉ, ÇáÊÓÏíÏÇÊ ÇáØæíáÉ, ÇáÇÎÊØÇİ ÇáãåÇÑÇÊ ÚÈæÑ Îáİí, ÊãÑíÑÉ ØæíáÉ ãäÒáŞÉ","1. Side Midfielder, having good dribbling &\crossing\2. The speed is lower than WF, but the\Defending ability is higher."
80064,CreateCharacter.ui,"DM (Defense Midfielder) áÇÚÈ æÓØ ÇáãÏÇİÚ \ åĞå ÇáãÑßÒ íÚÊãÏ Úáì ÇáÇÎÊØÇİ æ ÇáÚÑŞáÉ, æ ÊÃãíä ÇáÏİÇÚ æÅÚØÇÁ ÒãáÇÆå ÇááÇÚÈíä ÍÑíÉ ÇáÊŞÏã ááÃãÇã Ïæä ŞáŞ \ ãåãÉ åĞÇ ÇááÇÚÈ ÇáÇÎÊØÇİ æ ÇáÚÑŞáÉ æ åæ ãÓÄæá Úä ÕÏ ÇáÊÓÏíÏÇÊ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÇáŞÏÑÉ Úáì ÇáÊÍãá, ÇáÇÎÊØÇİ, ÇáÊÕÏí \ ÇáãåÇÑÇÊ ÊãÑíÑÉ ãŞØæÚÉ, æÖæÍ äÕİí","1. Defensive Midfielder, having good stealing &tackling\2. Close to Defender, not to make a goal easy\but having good defensive skills."
80065,CreateCharacter.ui,"SW “Sweeper” ãÏÇİÚ ŞÔÇÔ: \ åĞÇ ÇáãÑßÒ ãÓÄæá Úä ÇáÍãÇíÉ ÇáåÏİ ãä ÇáãåÇÌãíä æ áÏíå ŞÏÑÉ ÏİÇÚ İÚÇáÉ İí ÇááÚÈÉ ÈÇáÇÖÇİÉ áãåÇÑÇÊ ÇáÇÎÊØÇİ æ ÇáÚÑŞáÉ æ ÇáÑÃÓíÉ ÇáããíÒÉ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÎİÉ ÇáÍÑßÉ, ÇáŞİÒ, ÇáÚÑŞáÉ ÇáãåÇÑÇÊ: \ ÏİÚ ÇáÑÇßÖ, æÖæÍ ÍÓí, æåãí ÓãÇÆí, æåãí ÚÇáí","1. Sweeper, the last player covering the wholearea behind a line of defenders\2. Good defender, but slow player."
80066,CreateCharacter.ui,"CB “Central Back” ŞáÈ ÏİÇÚ: \ åĞÇ ÇáãÑßÒ áÏíå ÓÑÚÉ ÌíÏÉ ááÏİÇÚ ãä ÇáÎÕã ãäÕÈí SW æ CB ãÊÔÇÈåíä ßËíÑÇ æ áßä ãÑßÒ CB ãÑßÒ áå ØÇÈÚ åÌæãí ÇßËÑ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÎİÉ ÇáÍÑßÉ, ÇáÇÎÊÑÇŞ, ÇáÚÑŞáÉ ÇáãåÇÑÇÊ: \ ÚÑŞá æ ÇáÊŞØ, ÏİÚ ÇáãÑÇæÛ, ÊãÑíÑ Øæíá æÇÖÍ","1. Center back, the center of defense blockingthe opponent players with high speed\2. Good for high ball and tackling."
80067,CreateCharacter.ui,"SP (Stopper) ãÏÇİÚ ÔÑÓ: \ åĞÇ ÇáãÑßÒ ãÊÎÕÕ ÈÇáÏİÇÚ ãä ÑÌá áÑÌá æ áÏíå ãåÇÑÇÊ ÌíÏÉ İí ÇÎÊØÇİ ÇáßÑÉ æ ÚÑŞáÉ ÇááÇÚÈíä \ Çåã äŞØÉ íÌÈ Çä íÑÇÚíåÇ ÇáãÏÇİÚ ÇáÔÑÓ Çä íßæä ãÊÃßÏÇ ãä Çä ÇáİÑíŞ íåÇÌã ÈÔßá ÓáÓ \ ÇáãŞÏÇÑÊ ÇáÊí ÊÊØæÑ ÈÔßá ÊáŞÇÆí: ÎİÉ ÇáÍÑßÉ, ÇáŞÏÑÉ Úáì ÇáÊÍãá, ÇáÚÑŞáÉ \ ÇáãåÇÑÇÊ: åÌæã Îáİí, ÇáÊŞÇØ ÇáÌÓÏ, ÏİÚ ÇáÌÓÏ","1. Stopper, having good man to man defense\ability\2. Low ability taking high ball but having a\special heading shot at the counter attack."
